time(s),emg01,emg02,emg03,emg04,emg05,emg06,emg07,emg08
3.4910924434661865,810,742,976,226,481,161,145,239
3.5142815113067627,832,728,933,223,412,146,140,272
3.53690242767334,989,709,934,216,402,142,149,298
3.551140069961548,955,672,950,264,382,134,149,300
3.574474573135376,1021,684,924,267,435,150,141,291
3.5969669818878174,970,722,957,277,439,155,143,289
3.6110939979553223,905,782,994,262,424,162,150,259
3.6348650455474854,764,815,1009,268,464,159,143,229
3.656886577606201,767,849,959,222,420,150,133,214
3.671269416809082,656,783,924,223,443,145,118,192
3.702439069747925,766,737,886,203,427,135,162,260
3.716776132583618,765,673,873,202,420,126,154,259
3.731490135192871,750,679,909,222,377,116,152,256
3.754307746887207,750,642,928,207,374,103,153,249
3.7772269248962402,847,651,872,211,313,89,162,271
3.7910196781158447,768,643,796,213,357,98,119,204
3.81430983543396,768,728,797,220,365,96,114,193
3.836839437484741,807,730,781,185,379,97,122,225
3.8514559268951416,734,719,786,209,357,95,125,222
3.8741726875305176,683,719,817,207,330,96,118,204
3.8975636959075928,652,707,772,206,308,95,107,196
3.9110422134399414,744,622,792,211,415,100,107,216
3.934380292892456,793,586,804,218,409,107,113,214
3.9576265811920166,876,584,742,200,441,108,113,247
3.9794204235076904,876,551,717,200,515,113,112,253
3.9940662384033203,877,553,769,221,583,115,113,244
4.016663551330566,816,551,749,207,516,111,115,228
4.031036615371704,782,627,751,241,499,109,102,222
4.055025100708008,768,691,780,267,492,107,106,227
4.076868772506714,731,678,818,277,478,105,117,228
4.09935736656189,734,664,764,272,384,106,119,239
4.114553928375244,818,643,748,292,375,107,122,252
4.137025356292725,746,550,735,255,410,110,126,236
4.159527540206909,820,535,755,241,434,143,135,251
4.174259901046753,793,556,717,247,403,138,122,234
4.19733738899231,833,638,800,231,403,131,149,275
4.219422101974487,765,701,874,201,437,139,155,276
4.234103679656982,813,774,897,217,521,162,159,290
4.256751298904419,724,785,972,214,511,146,147,259
4.279358386993408,778,809,1071,200,482,149,157,268
4.294180393218994,814,862,1134,210,489,156,143,264
4.317572116851807,807,858,1169,233,456,161,139,262
4.339348793029785,757,826,1197,260,358,144,138,256
4.354566335678101,770,875,1196,254,322,132,139,268
4.376744031906128,808,883,1139,245,318,144,129,261
4.399730920791626,702,848,1139,251,360,149,122,226
4.414042949676514,684,809,1056,264,412,153,116,228
4.437139987945557,739,808,1072,241,401,145,120,239
4.459676027297974,734,783,1086,266,453,153,136,241
4.474319934844971,690,763,1092,273,539,175,152,271
4.497043609619141,758,736,1025,254,539,182,159,291
4.520260810852051,810,739,1069,254,541,177,171,322
4.542387247085571,765,722,978,242,537,181,164,334
4.560451507568359,726,695,923,214,524,185,154,323
4.579657793045044,701,662,871,215,426,162,139,299
4.595961332321167,753,674,916,223,363,151,134,288
4.616886854171753,752,699,945,204,335,141,129,260
4.6388983726501465,931,798,1042,210,395,158,155,298
4.653763055801392,940,747,983,195,376,155,148,297
4.677373647689819,933,752,1037,176,374,142,151,317
4.699685573577881,838,771,1027,165,385,134,142,305
4.714462995529175,788,731,941,133,352,133,129,293
4.73698091506958,512,565,849,122,267,97,94,216
4.759070634841919,477,597,935,150,216,93,98,212
4.77370285987854,521,595,885,151,210,98,102,208
4.797004222869873,478,463,780,139,166,89,100,212
4.819571256637573,437,430,727,137,147,85,99,205
4.833962917327881,434,435,643,144,114,85,93,195
4.856886863708496,464,383,539,135,113,77,96,198
4.87965726852417,370,327,467,126,108,67,79,179
4.8939738273620605,348,287,413,126,104,66,74,149
4.917387008666992,337,255,371,123,89,68,70,143
4.939939022064209,337,226,319,103,85,64,67,139
4.9541802406311035,175,88,171,68,55,48,43,104
4.977137565612793,130,65,153,65,47,41,37,55
4.999594211578369,162,62,176,72,51,40,34,55
5.013765335083008,186,62,225,85,54,27,34,52
5.037340402603149,199,71,220,92,57,28,37,53
5.059604167938232,208,68,209,100,69,28,40,52
5.082426309585571,227,71,190,125,80,29,41,52
5.096138954162598,209,65,177,123,83,31,38,49
5.119305610656738,187,66,136,125,85,32,36,44
5.142027378082275,170,58,151,119,83,33,36,42
5.1580517292022705,161,61,195,113,76,37,31,44
5.179466724395752,116,59,208,86,65,38,25,40
5.2016441822052,105,62,228,81,63,39,28,39
5.217473745346069,94,57,219,55,51,40,27,37
5.239682674407959,115,57,266,56,54,38,25,35
5.2620909214019775,117,51,264,58,51,33,26,32
5.278614521026611,121,54,267,58,54,34,26,32
5.299524307250977,117,55,252,50,46,32,23,32
5.32215428352356,117,57,246,50,49,33,23,33
5.3364787101745605,92,54,181,49,45,34,23,29
5.367020606994629,83,61,195,42,46,36,20,28
5.3819801807403564,74,57,223,42,41,34,21,29
5.396942853927612,84,53,222,44,42,35,25,30
5.420522689819336,99,55,229,42,42,34,25,31
5.44160532951355,98,56,267,48,43,39,28,32
5.456669330596924,104,54,271,51,42,39,28,32
5.479779243469238,101,56,247,52,44,40,29,29
5.5017993450164795,122,63,277,52,48,39,27,28
5.516587495803833,111,67,327,54,47,38,26,26
5.540528059005737,111,65,307,50,48,35,23,24
5.561673402786255,137,58,276,49,53,36,27,29
5.575883150100708,140,62,310,45,53,35,26,29
5.599147796630859,112,54,283,45,54,39,25,28
5.6219727993011475,111,46,222,40,50,37,25,28
5.636886358261108,110,47,206,37,47,35,27,30
5.6593711376190186,61,48,291,35,46,33,23,27
5.681657075881958,81,46,245,38,45,33,24,28
5.696560621261597,82,48,249,38,39,32,26,26
5.719165563583374,88,46,247,39,39,35,27,28
5.742007255554199,88,44,259,41,43,36,25,28
5.757927656173706,90,46,237,44,37,33,26,29
5.779585361480713,74,39,244,46,35,34,26,28
5.8015711307525635,65,34,234,46,36,32,25,30
5.816298246383667,60,34,229,46,39,29,23,31
5.839024782180786,62,39,216,44,36,26,24,28
5.862003803253174,83,45,167,44,44,30,22,27
5.876263380050659,79,51,199,40,45,28,26,29
5.8992390632629395,81,57,215,41,50,27,27,29
5.922244310379028,108,63,281,41,50,33,28,30
5.935956716537476,107,63,286,43,55,33,27,30
5.959633827209473,99,57,297,40,54,31,27,32
5.982350587844849,100,56,295,39,59,31,25,31
6.0042641162872314,110,60,313,48,57,33,24,31
6.019166469573975,83,53,256,47,56,27,27,28
6.042185306549072,81,55,278,46,50,28,26,31
6.064579248428345,71,56,274,49,45,30,29,31
6.079359292984009,69,54,255,50,41,29,29,31
6.101924180984497,57,50,232,42,41,27,31,30
6.124187231063843,85,61,278,45,42,30,30,32
6.139925479888916,86,56,266,45,44,34,33,32
6.161667585372925,87,54,229,43,42,30,31,32
6.184218645095825,88,52,217,46,43,33,30,33
6.1996543407440186,81,50,248,45,38,33,29,32
6.22226357460022,45,38,226,46,37,30,27,31
6.244091033935547,36,38,213,46,36,27,24,29
6.259995460510254,33,42,272,47,40,31,24,27
6.281604051589966,30,48,281,47,37,31,27,27
6.304219961166382,30,45,282,55,38,34,27,27
6.31990909576416,31,52,312,59,37,35,26,26
6.341641426086426,32,52,317,59,38,36,26,26
6.364852428436279,34,51,296,58,39,35,26,29
6.379078149795532,35,47,292,58,39,34,24,30
6.401684522628784,36,46,282,66,39,32,25,31
6.424292087554932,37,45,230,62,45,33,25,31
6.439802885055542,37,47,244,74,48,32,24,31
6.46178126335144,53,61,261,103,62,33,25,28
6.484573602676392,53,62,260,106,64,31,26,26
6.5008544921875,53,67,263,101,64,32,24,28
6.521731615066528,55,69,311,107,66,31,26,28
6.544652462005615,74,76,337,110,69,33,28,30
6.558594703674316,62,72,365,96,56,34,27,31
6.589527368545532,74,85,415,106,58,34,27,31
6.604948043823242,139,99,476,125,81,40,34,50
6.62048602104187,166,112,493,132,107,45,38,56
6.641778469085693,214,120,488,143,118,46,39,82
6.664397478103638,248,129,474,188,218,73,53,141
6.679639101028442,289,164,452,208,261,87,71,157
6.701869487762451,488,272,511,219,365,113,119,222
